cmeID,observedTime,CME_Angular_Width,CME_Measurement_Position_Angle,CME_Linear_Speed,CME_2nd-order_Speed_At_Final_Height,CME_2nd-order_Speed_At_20_Rs,CME_Acceleration,CME_Mass,IMF_Magnitude_Avg,IMF_Bx,IMF_By_GSM,IMF_Bz_GSM,SW_Plasma_Speed,SW_Plasma_Temperature,SW_Proton_Density,R_Sunspot_Number,maxKP,OG_avgPredictedMaxKpLowerRange,OG_avgPredictedMaxKpUpperRange,OG_medianPredictedMaxKpLowerRange,OG_medianPredictedMaxKpUpperRange,OG_meanofavgPredictedMaxKpRange,ar_fixed,ar_source,ar_flag,ar_group,is_real,uid,storm_level
2024-06-25T05:00:00-CME-001,2024-06-25T05:00:00+00:00,154.0,280,445.0,628,552,9.2,7800000000000000.0,6.728571428571429,1.8285714285714283,-2.5142857142857147,-3.5857142857142854,310.7142857142857,54527.71428571428,9.714285714285714,146.0,7.67,2.9450000000000003,4.945,3.0,5.0,3.945,,none,missing,-135,1,2024-06-25T05:00:00-CME-001,G3_strong
2014-02-25T01:25:00-CME-001,2014-02-25T01:25:00+00:00,360.0,73,2147.0,1809,2069,-158.1,2.2e+16,3.0,1.1833333333333331,0.2,1.7999999999999998,447.0,69148.83333333333,3.283333333333333,171.0,6.0,3.0,5.0,3.0,5.0,4.0,,none,missing,-17,1,2014-02-25T01:25:00-CME-001,G2_moderate
2015-12-28T12:39:00-CME-001,2015-12-28T12:39:00+00:00,360.0,163,1212.0,1243,1228,4.6,1.9e+16,2.7166666666666663,-1.2,0.0666666666666667,0.2,420.6666666666667,68648.16666666667,4.883333333333334,70.0,6.0,4.5,6.6,4.5,7.0,5.55,12473.0,direct,,12473,1,2015-12-28T12:39:00-CME-001,G2_moderate
2014-06-04T13:25:00-CME-001,2014-06-04T13:25:00+00:00,360.0,160,467.0,1258,1035,43.7,1.6e+16,4.6000000000000005,1.4333333333333331,-3.2166666666666663,-1.1,319.5,22307.5,11.1,64.0,6.0,3.0,6.0,3.0,6.0,4.5,12080.0,note,auto_fixed,12080,1,2014-06-04T13:25:00-CME-001,G2_moderate
2014-01-14T10:24:00-CME-001,2014-01-14T10:24:00+00:00,164.0,12,404.0,477,476,4.9,1500000000000000.0,4.0,2.5666666666666664,-1.1166666666666667,-0.3166666666666667,637.8333333333334,130963.83333333331,1.8333333333333337,96.0,1.0,3.0,4.5,3.0,4.5,3.75,11950.0,direct,,11950,1,2014-01-14T10:24:00-CME-001,G0_quiet
2024-09-13T10:12:00-CME-001,2024-09-13T10:12:00+00:00,117.0,318,541.0,610,588,5.0,1800000000000000.0,6.300000000000001,-3.4500000000000006,-0.0666666666666666,-3.5,490.0,94216.33333333331,1.7,109.0,4.33,4.0,6.0,4.0,6.0,5.0,13814.0,direct,,13814,1,2024-09-13T10:12:00-CME-001,G0_quiet
2022-10-01T13:09:00-CME-001,2022-10-01T13:09:00+00:00,360.0,286,775.0,621,0,-39.3,1400000000000000.0,7.983333333333334,-6.816666666666666,2.0,0.45,429.8333333333333,105551.16666666669,1.5666666666666669,110.0,4.0,3.5,5.5,3.5,5.5,4.5,13113.0,direct,,13113,1,2022-10-01T13:09:00-CME-001,G0_quiet
2021-05-22T22:09:00-CME-001,2021-05-22T22:09:00+00:00,149.0,293,459.0,472,480,1.3,690000000000000.0,3.516666666666667,2.6833333333333336,-1.4166666666666667,-0.8333333333333334,423.5,54148.833333333336,1.7999999999999998,25.666666666666668,5.0,3.4,5.8,3.0,6.0,4.6,12824.0,direct,,12824,1,2021-05-22T22:09:00-CME-001,G1_minor
2013-04-11T07:36:00-CME-001,2013-04-11T07:36:00+00:00,360.0,85,861.0,792,819,-8.1,2.2e+16,6.333333333333333,-2.95,3.083333333333334,0.6333333333333334,419.8333333333333,124730.66666666669,5.199999999999999,126.0,3.0,5.5,7.0825,5.5,7.165,6.29125,11719.0,linked_flr,,11719,1,2013-04-11T07:36:00-CME-001,G0_quiet
2014-12-19T00:27:00-CME-001,2014-12-19T00:27:00+00:00,360.0,98,1195.0,1052,1331,-57.0,3400000000000000.0,6.933333333333334,-2.983333333333333,3.6833333333333336,-1.2666666666666668,360.5,60946.833333333336,4.566666666666667,175.0,5.0,5.75,7.6,6.0,8.0,6.675,12241.0,direct,,12241,1,2014-12-19T00:27:00-CME-001,G1_minor
2015-06-21T02:48:00-CME-001,2015-06-21T02:48:00+00:00,360.0,72,1366.0,1477,1434,21.2,9600000000000000.0,3.033333333333333,-2.466666666666667,1.5833333333333337,0.1,292.8333333333333,11999.333333333334,9.15,61.0,8.0,5.5,7.8,5.5,8.0,6.65,12371.0,direct,,12371,1,2015-06-21T02:48:00-CME-001,G4+_severe_extreme
2022-04-27T14:53:00-CME-001,2022-04-27T14:53:00+00:00,127.0,317,807.0,746,780,-5.9,1900000000000000.0,5.816666666666667,-0.65,1.5833333333333333,-3.466666666666667,465.3333333333333,207473.0,5.733333333333333,133.0,5.0,3.66667,5.5,3.5,5.5,4.583335,12996.0,direct,,12996,1,2022-04-27T14:53:00-CME-001,G1_minor
2015-06-22T18:36:00-CME-001,2015-06-22T18:36:00+00:00,360.0,358,1209.0,1065,1147,-25.1,4400000000000000.0,28.26666666666667,-6.449999999999999,10.533333333333331,6.016666666666667,652.3333333333334,850752.1666666666,32.61666666666667,54.16666666666666,6.0,5.66667,7.6,6.0,8.0,6.633335,12371.0,direct,,12371,1,2015-06-22T18:36:00-CME-001,G2_moderate
2015-03-15T02:00:00-CME-001,2015-03-15T02:00:00+00:00,360.0,240,719.0,611,682,-9.0,3e+16,5.271428571428572,3.585714285714286,-0.0571428571428572,-1.5,325.85714285714283,35568.28571428572,19.88571428571429,53.0,7.67,4.66667,6.4,5.0,7.0,5.533335,12297.0,direct,,12297,1,2015-03-15T02:00:00-CME-001,G3_strong
2015-06-25T08:36:00-CME-001,2015-06-25T08:36:00+00:00,360.0,330,1627.0,1488,1594,-24.8,3.1e+16,9.833333333333334,-1.6166666666666665,-4.766666666666667,-3.7,630.6666666666666,90904.0,5.716666666666666,27.0,3.0,3.0,5.75,3.0,5.5,4.375,12371.0,direct,,12371,1,2015-06-25T08:36:00-CME-001,G0_quiet
2023-04-15T12:36:00-CME-001,2023-04-15T12:36:00+00:00,124.0,58,353.0,318,159,-5.1,460000000000000.0,4.516666666666667,-3.266666666666666,-1.0333333333333334,-2.066666666666667,346.8333333333333,18275.666666666668,11.083333333333334,177.0,4.0,2.0,3.0,2.0,3.0,2.5,,none,missing,-90,1,2023-04-15T12:36:00-CME-001,G0_quiet
2014-01-07T18:24:00-CME-001,2014-01-07T18:24:00+00:00,360.0,231,1830.0,1569,1714,-60.8,2.2e+16,6.783333333333332,-5.316666666666666,2.716666666666667,-1.8166666666666669,379.3333333333333,54737.66666666666,10.7,134.5,3.0,6.0,7.625,6.0,8.0,6.8125,11943.0,direct,,11943,1,2014-01-07T18:24:00-CME-001,G0_quiet
2015-12-16T09:36:00-CME-001,2015-12-16T09:36:00+00:00,360.0,334,579.0,529,487,-6.7,2300000000000000.0,4.65,3.633333333333333,-2.1333333333333333,1.7666666666666668,507.8333333333333,103522.33333333331,0.8666666666666666,63.0,6.0,3.75,5.8,4.0,6.0,4.775,12468.0,direct,,12468,1,2015-12-16T09:36:00-CME-001,G2_moderate
2023-12-14T17:38:00-CME-001,2023-12-14T17:38:00+00:00,360.0,291,948.0,872,921,-8.0,1.1e+16,5.5,-1.85,1.9,-3.533333333333333,302.8333333333333,51290.833333333336,5.633333333333333,117.0,6.0,3.375,5.625,3.0,6.0,4.5,13514.0,direct,,13514,1,2023-12-14T17:38:00-CME-001,G2_moderate
2023-11-09T12:23:00-CME-001,2023-11-09T12:23:00+00:00,360.0,328,573.0,411,509,-11.3,1.3e+16,4.283333333333333,0.9666666666666668,-2.5666666666666664,0.5333333333333333,672.8333333333334,177810.0,2.3666666666666667,99.0,4.0,4.375,6.25,4.0,6.0,5.3125,13480.0,direct,,13480,1,2023-11-09T12:23:00-CME-001,G0_quiet
2014-04-02T13:55:00-CME-001,2014-04-02T13:55:00+00:00,360.0,60,1471.0,1464,1468,-1.2,1.4e+16,4.95,-3.0499999999999994,-1.5,0.0833333333333333,403.3333333333333,66748.0,3.25,114.0,4.0,4.0,6.33333,4.0,7.0,5.166665,12027.0,direct,,12027,1,2014-04-02T13:55:00-CME-001,G0_quiet
2015-05-02T21:36:00-CME-001,2015-05-02T21:36:00+00:00,360.0,115,335.0,430,394,3.8,1.3e+16,6.966666666666666,-4.483333333333333,2.866666666666667,-0.4499999999999999,403.1666666666667,56644.66666666666,3.0500000000000003,40.66666666666666,5.0,3.0,5.0,3.0,5.0,4.0,,none,missing,-27,1,2015-05-02T21:36:00-CME-001,G1_minor
2022-03-28T12:09:00-CME-001,2022-03-28T12:09:00+00:00,360.0,127,702.0,438,0,-47.0,1.5e+16,3.4166666666666674,1.5833333333333333,2.05,1.5499999999999998,479.1666666666667,49307.5,3.333333333333333,137.0,5.0,4.0,6.25,4.0,6.0,5.125,12975.0,direct,,12975,1,2022-03-28T12:09:00-CME-001,G1_minor
2016-04-10T11:00:00-CME-001,2016-04-10T11:00:00+00:00,136.0,25,543.0,547,547,0.4,4600000000000000.0,6.885714285714286,-3.842857142857143,2.9714285714285715,3.942857142857143,358.85714285714283,56034.71428571428,14.128571428571428,34.0,5.0,4.0,5.5,4.0,5.5,4.75,12529.0,note,auto_fixed,12529,1,2016-04-10T11:00:00-CME-001,G1_minor
2024-05-08T22:24:00-CME-001,2024-05-08T22:24:00+00:00,360.0,213,952.0,959,954,0.7,3.4e+16,2.75,-1.0833333333333333,1.6833333333333331,0.0999999999999999,460.3333333333333,85131.0,2.983333333333333,179.33333333333334,9.0,6.0,8.25,5.5,8.0,7.125,13664.0,direct,,13664,1,2024-05-08T22:24:00-CME-001,G4+_severe_extreme
2013-05-22T13:24:00-CME-001,2013-05-22T13:24:00+00:00,360.0,287,1466.0,1394,1438,-13.2,3.3e+16,3.25,1.65,-0.1166666666666666,-1.7166666666666668,447.3333333333333,34651.166666666664,12.716666666666669,131.0,5.0,4.33333,5.665,4.0,5.0,4.999165,,none,missing,-2,1,2013-05-22T13:24:00-CME-001,G1_minor
2024-09-11T02:23:00-CME-001,2024-09-11T02:23:00+00:00,125.0,359,567.0,651,660,8.2,1300000000000000.0,4.383333333333334,2.333333333333333,-2.533333333333333,-0.2833333333333333,361.0,50577.16666666666,6.066666666666666,147.0,6.0,4.33333,6.33333,4.0,6.0,5.33333,13814.0,direct,,13814,1,2024-09-11T02:23:00-CME-001,G2_moderate
2014-09-10T18:24:00-CME-001,2014-09-10T18:24:00+00:00,360.0,175,1267.0,950,1119,-51.6,2.1e+16,7.233333333333334,1.1166666666666665,-1.433333333333333,-0.6333333333333334,365.1666666666667,50219.66666666666,14.633333333333333,167.5,7.0,5.5,7.66667,6.0,8.0,6.583335,12158.0,direct,,12158,1,2014-09-10T18:24:00-CME-001,G3_strong
